REPORTE NAV: FIR_EZE_PENDIENTES		-		FECHA,2022-12-05
Id, Aeropuerto, Sistema, Mes, Archivos, Año
1,AEP,ILS,1,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
2,AEP,ILS,2,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
3,BAR,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
4,BAR,ILS,2,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
5,BAR,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
6,BAR,VOR,2,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
7,BCA,ILS,1,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
8,BCA,ILS,2,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
9,BCA,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
10,BCA,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
11,DIL,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
12,DIL,ILS,2,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
13,DIL,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
14,DIL,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
15,FDO,ILS,1,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
16,FDO,ILS,2,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
17,FDO,VOR,1,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
18,FDO,VOR,2,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
19,GBE,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
20,GBE,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
21,GPI,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
22,GPI,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
23,GUA,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
24,GUA,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
25,IGU,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
26,IGU,ILS,2,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
27,IGU,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
28,IGU,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
29,LYE,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
30,LYE,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
31,MDP,ILS,1,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
32,MDP,ILS,2,Falta entregar: DME ILS PARAMETROS,2021
33,MDP,VOR,1,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
34,MDP,VOR,2,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
35,NEU,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
36,NEU,ILS,2,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
37,NEU,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
38,NEU,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
39,NIN,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
40,NIN,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
41,OEL,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
42,OEL,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
43,OSA,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
44,OSA,ILS,2,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
45,OSA,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
46,OSA,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
47,PAL,ILS,1,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
48,PAL,ILS,2,Falta entregar: LH-ILS PARAMETROS-DME ILS PARAMETROS,2021
49,PAL,VOR,1,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
50,PAL,VOR,2,Falta entregar: LH-VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
51,PAR,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
52,PAR,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
53,PTA,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
54,PTA,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
55,ROS,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
56,ROS,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
57,SNT,VOR,1,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
58,SNT,VOR,2,Falta entregar: VOR PARAMETROS I-VOR PARAMETROS II-DME VOR PARAMETROS,2021
59,SVO,ILS,1,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
60,SVO,ILS,2,Falta entregar: ILS PARAMETROS-DME ILS PARAMETROS,2021
